X,Y,OBJECTID,FACILITYID,VICINITY,WARD,TBOX_L,TBOX_W,WIRES,CURB,SIDEWALK,TBOX_STAT,RETIREDDT,SCI_NM,CMMN_NM,DATE_PLANT,DBH,DISEASE,PESTS,CONDITION,CONDITIODT,OWNERSHIP,TREE_NOTES,ONEYEARPHOTO,SPECIALPHOTO,PHOTOREMARKS,ELEVATION,SIGN,TRRS,WARRANTY,FAM_NAME,CREATED_USER,CREATED_DATE,EDITEDBY,LAST_EDITED_USER,LAST_EDITED_DATE,GENUS_NAME,year_planted
-77.016571353,38.8859929455,25063062,NA,300 BLK C ST SW,6,99,99,None,Permanent,Permanent,Proposed,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-17T00:00:00Z,UFA,NA,NA,NA,NA,Level,None,NA,Unknown,NA,ufaarborist,2015-09-17T14:46:53Z,jchapman,ufaarborist,2015-09-17T15:32:42Z,NA,NA
-77.0165363958,38.8861028743,25064480,NA,300 BLK C ST SW,6,99,99,None,Permanent,Permanent,Proposed,NA,NA,NA,NA,NA,NA,NA,Excellent,NA,UFA,NA,NA,NA,NA,Level,None,NA,Unknown,NA,ufaarborist,2015-09-17T14:47:02Z,jchapman,ufaarborist,2015-09-17T15:24:44Z,NA,NA
-76.9862961175,38.9531732936,25064489,23198-510-3005-0243-000,opp 5006 EASTERN AVE NE,5,99,99,None,Permanent,None,Proposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFA,Cryptomeria,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,rbabra,rbabra,2010-01-07T10:28:33Z,NA,NA
-76.979071001,38.9332354121,25065214,NA,1820 MONROE STREET NE,5,NA,NA,NA,NA,NA,Proposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,DCPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFA,2017-12-28T20:14:24Z,NA,UFA,2018-02-08T21:28:37Z,NA,NA
-76.9695489274,38.851934522,25065908,NA,2435 ALABAMA AVENUE SE,8,NA,NA,NA,NA,NA,Proposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,DCPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFA,2017-12-28T20:14:24Z,NA,UFA,2018-02-08T21:40:54Z,NA,NA
-76.9644060286,38.870742133,25065909,NA,1650 30TH STREET SE,7,NA,NA,NA,NA,NA,Proposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,DCPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFA,2017-12-28T20:13:54Z,NA,UFA,2018-02-08T21:37:24Z,NA,NA
-76.9963861809,38.9273786307,25065949,24303-065-3005-0244-000,643 HAMLIN ST NE,5,99,5,None,Temporary,Permanent,Proposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,ufaarborist,ufaarborist,2010-03-15T11:41:46Z,NA,NA
-76.9939888841,38.8767630599,25066087,NA,"Potomac Ave SE, 9th Street SE, and M Street SE",6,NA,NA,NA,NA,NA,Proposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFA,2017-12-28T20:12:49Z,NA,UFA,2018-02-08T21:33:48Z,NA,NA
-76.9262722632,38.8799391342,25066088,NA,"Benning Rd., north of Hanna Pl. & Southern Ave., *",7,NA,NA,NA,NA,NA,Proposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFA,2017-12-28T20:13:22Z,NA,UFA,2018-02-08T21:37:20Z,NA,NA
-77.0461805108,38.9242600769,25066089,NA,"Adams Mill and Ontario Rds., NW",1,NA,NA,NA,NA,NA,Proposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFA,2017-12-28T20:13:22Z,NA,UFA,2018-02-08T21:00:29Z,NA,NA
