GENUS_NAME,count
Quercus,38691
Acer,28823
NA,15283
Ulmus,14864
Prunus,10033
Platanus,7058
Other,6833
Zelkova,5941
Tilia,5305
Ginkgo,4670
Cercis,4304
Lagerstroemia,3605
Liquidambar,3605
Gleditsia,2086
Nyssa,2077
Celtis,1889
Carpinus,1764
Amelanchier,1700
Magnolia,1494
Syringa,1426
Pistacia,1346
Koelreuteria,1259
Cladrastis,1208
Malus,1191
Cornus,1171
Gymnocladus,935
Pyrus,880
Betula,781
Metasequoia,776
Liriodendron,689
Taxodium,552
Pinus,456
Juniperus,444
Aescululs,426
Fraxinus,351
Styphnolobium,326
Robinia,290
Morus,271
Halesia,244
Ostrya,216
Cercidiphyllum,209
Fagus,165
No,160
Chionanthus,140
Oxydendrum,136
Crataegus,129
Ilex,115
Eucommia,110
Aesculus,104
Catalpa,93
Parrotia,78
Ailanthus,70
Carya,67
Sassafras,64
Cedrus,63
Populus,56
Juglans,54
Stewartia,37
Rhus,30
Laburnum,29
Cryptomeria,28
Maackia,15
Salix,11
Tsuga,8
Picea,7
Thuja,7
Cotinus,5
"Cornus
Cornus
Cornus
Cornus
Cornus
Cornus",4
Maclura,4
"Fagus
Fagus
Fagus",3
Paulownia,3
Alnus,2
Sorbus,2
Alibizia,1
