WARD,Open,Plant,Proposed,pct_empty,pct_proposed
-2,NA,1,NA,NA,NA
-1,NA,1,NA,NA,NA
1,138,9286,456,1.4861081197501615,-3.424510015076459
2,171,16078,123,1.063565120039806,0.29854459509889286
3,984,25887,438,3.8011357051802066,2.1091667632402364
4,1922,25179,770,7.633345248024146,4.575241272488979
5,2761,21649,1071,12.753475911127534,7.806365190078064
6,281,19995,967,1.4053513378344586,-3.430857714428607
7,2874,20903,883,13.749222599626847,9.524948571975314
8,1582,14492,954,10.91636765111786,4.333425338117582
9,NA,1,NA,NA,NA
NA,53,107,10,49.532710280373834,40.18691588785047
